QUT ID #,Reference #,Name of Model,Manufacturer,Location,W Count,Q Count,Total Count,Expected Quantity
1.00,AS 9/3,Transparent Torso Model with Blood vessels and head,SOMSO,Cupboard 7,1,0,1,1
1.01,,Asian Torso,Original Somso,Cupboard 7,1,0,1,1
1.02,AS 23/1,Male Torso with Head and Open Back (20 parts),SOMSO,"W101, W306",8,4,12,12
1.03,AS 4,Torso on Beige Base with Removable head,SOMSO,W306,1,0,1,1
1.05,AS 44,Torso without Head and 1/2 omentum,SOMSO,Compactus,1,0,1,1
1.06,AS 7,"Torso, 1/2 muscle, M & F chest and genitalia ",SOMSO,W306,2,2,4,4
1.07,AS 6,Muscular torso with interchange male & female genitalia,SOMSO,Compactus,2,0,2,2
1.08,0799-00,Plane Jane,Denoyer Geppert,W306,2,0,2,2
1.09,201,Torso on White Base - Azygos Vein,Unknown,Compactus,3,0,3,3
1.10,AS 3 AP/NR,Colour Coded Male Muscle Figure (1 Part),SOMSO,W306,1,0,1,1
1.11,BS 9,Sagittal 1/2 Head,SOMSO,Cupboard 5,6,3,9,9
1.12,BS 43,Sagittal and Frontal Head Section Slab,SOMSO,Cupboard 5,6,2,8,8
1.14,FS 4,"Median Section of the Cavities of Nose, Mouth, and Throat ",SOMSO,Cupboard 6,6,0,6,6
1.20,FS 5,XL Head with Cavities of Nose/Mouth,SOMSO,Cupboard 6,1,0,1,1
1.21,BS 3,Big Head and Shoulders,SOMSO,Cupboard 8,5,4,9,9
1.22,BS 18,Small Head and Neck,SOMSO,Cupboard 8,5,0,5,5
1.31,HS 7,Organs of the Thorax,SOMSO,Cupboard 7,8,2,10,10
1.33,,Plaster Thorax on Wood Slide Base (2 parts),Original Somso,W306,1,0,1,1
1.35,AS 1,Benchtop Muscleman (27 parts),SOMSO,W306,7,1,8,8
1.36,AS 1/1,Benchtop Muscleman (3 parts),SOMSO,Compactus,3,0,3,3
1.37,AS 2/2,Muscleman on Wheeled Castor Base ,SOMSO,W306,2,0,2,2
1.42,MS 10,Female Pelvis with Muscles,SOMSO,Cupboard 10,5,0,5,5
1.43,NA,Pelvis with muscles and ligaments - female (plaster),NA,Cupboard 10,1,0,1,1
1.51,NS 15,Muscles of the Arm ,SOMSO,Cupboard 5,9,1,10,10
1.52,NS 13,Muscles of the Hand,SOMSO,Cupboard 21,5,0,5,5
1.61,NS 10,Muscles of the Leg,SOMSO,Cupboard 6,9,1,10,10
1.62,NS 9,Muscles of the Foot (9 parts),SOMSO,Cupboard 19,9,2,11,11
1.63,NS 1,Normal Foot,SOMSO,Cupboard 18,1,0,1,1
1.64,NS 2,Flat Foot,SOMSO,Cupboard 18,1,0,1,1
1.65,NS 3,Arched Foot,SOMSO,Cupboard 18,1,0,1,1
1.66,NS 7,"Foot - on Stand, Skin on Toes",SOMSO,Cupboard 18,1,0,1,1
1.70,BS 5/5,Axial Sectional Head (11 sections),SOMSO,Cupboard 8,3,2,5,5
3.01,KS 1 ,Skin,SOMSO,Cupboard 9,10,4,14,14
3.03,KS 3,Skin Block,SOMSO,Q704,0,2,2,2
3.11,MS 7/1,Breast - Lactating,SOMSO,Cupboard 9,2,2,4,4
